June,czerwca
Bohemian,podczas gdy ozdoby na bladym pariańskim kominku były z błyszczącego czeskiego szkła rubinowego
ruby,podczas gdy ozdoby na bladym pariańskim kominku były z błyszczącego czeskiego szkła rubinowego
blending,a między oknami wielkie lustra powtarzały ogólne mieszanie śniegu i ognia
coverings,i
swathed,że
fastidious,nie byłem
Almost,o
liberal,i liberalnego na nie
peculiarities,nie i
unimpeachable,przypuszczam że jego charakter jest nienaganny
speaks,nie mówi
jest,czy
consequence,w
sketching,się w
observing,się o ani w
salient,ani w
queries,moje pytania były zdziwione ale jej nie odciągnęły
definite,i się
storey,na i w
antiquity,i jego
appropriated,w nie
fashions,w czasu
chests,z
carvings,z
palm,w się
cherubs,z
Hebrew,z
ark,z
venerable,rzędy czcigodnych krzeseł wąskich i z wysokim oparciem
antiquated,jeszcze na
tops,i
apparent,i
halfeffaced,jeszcze na
embroideries,jeszcze na
shrine,sanktuarium pamięci teraz będzie to świątynia
hush,i
quaintness,Podobała mi się cisza mrok osobliwość tych odosobnień w ciągu dnia
retreats,Podobała mi się cisza mrok osobliwość tych odosobnień w ciągu dnia
coveted,ale w żadnym wypadku nie chciałem spędzić nocy na jednym z tych szerokich i ciężkich łóżek Pragnąłem ciasta chlebowego
crusted,i
portraying,i
effigies,i
pallid,i
traditions,Ani żadnej tradycji żadnych legend ani opowieści o duchach Nie wierzę
legends,Ani żadnej tradycji żadnych legend ani opowieści o duchach Nie wierzę
tranquilly,spokojnie i
fitful,tylko
attics,na
crow,jego
colony,Byłem teraz na poziomie kolonii wron i mogłem zajrzeć do ich gniazd
park,pole szerokie jak park usiane starodawnym lasem Biedne słabe rzeczy które nie nadają się do ruszenia o krok za bramą parku taty
dotted,pole szerokie jak park usiane starodawnym lasem
ancient,jak i
timber,i
dun,las ciemny i spokojny przedzielony ścieżką wyraźnie porośniętą bardziej zieloną mchem niż drzewa z listowiem
sere,las ciemny i spokojny przedzielony ścieżką wyraźnie porośniętą bardziej zieloną mchem niż drzewa z listowiem
visibly,las ciemny i spokojny przedzielony ścieżką wyraźnie porośniętą bardziej zieloną mchem niż drzewa z listowiem
overgrown,las ciemny i spokojny przedzielony ścieżką wyraźnie porośniętą bardziej zieloną mchem niż drzewa z listowiem stanowił część chodnika ogromnego cmentarza otaczającego ponurą czarną jak sadza stara katedra zarośniętego miasta produkcyjnego w hrabstwie shire
greener,las ciemny i spokojny przedzielony ścieżką wyraźnie porośniętą bardziej zieloną mchem niż drzewa z listowiem
reposing,kościół u bram droga spokojne wzgórza wszystko odpoczywające w słońcu jesiennego dnia
propitious,z
azure,w
marbled,się
pearly,horyzont ograniczony sprzyjającym niebem lazurowym marmurkowym z perłową bielą
repassed,Kiedy odwróciłem się od niego i przeszedłem przez zapadnię ledwo mogłem zobaczyć jak schodzę po drabinie
sunlit,z
pasture,z
groping,na po
outlet,na
garret,na
Bluebeard,i z
distinct,się i
mirthless,wyrazisty formalny pozbawiony radości
clamorous,Przeszedł z hałaśliwym wrzaskiem który zdawał się budzić echo w każdej samotnej komnacie
peal,z
echo,echo
originated,w się i
Poole,Poole
sews,szyje w
syllabic,często są razem głośni Śmiech powtórzył się niskim sylabicznym tonem i zakończył dziwnym pomrukiem
ghostliness,i że
cachinnation,i że
favoured,się do
superstitiously,ani
curtseyed,i
assist,w raz
unobjectionable,nie
Mesdames,nas na
êtes,nas na
servies,nas na
ai,nas na J ai
bien,bien
faim,nas na
moi,nas na vous moi pour
career,za
belied,ROZDZIAŁ XII Obietnica płynnej kariery którą przyrzekło moje pierwsze spokojne wprowadzenie do Thornfield Hall nie została zaprzeczona dłuższej znajomości tego miejsca i jego mieszkańców
competent,się
average,się nie
intelligence,i
spoilt,i do
wayward,było
freaks,i
teachable,i
development,rozwoju które
vivacious,postęp zapewnił mi żywe choć może niezbyt głębokie uczucie
prattle,jej
parenthèse,za
doctrines,Jego
angelic,za
idolatrous,za
flatter,nie schlebiać
egotism,by
cant,by
humbug,by
conscientious,i
solicitude,troskę i do mnie nie jego a jeśli był
welfare,Czułem sumienną troskę o dobro i postęp Adèle oraz cichą sympatię do jej małego ja
thankfulness,jej
moderation,jej
Anybody,czasu
jellies,i
staircases,i
afar,i
sequestered,i
overpass,i
blames,Kto mnie wini Bez wątpienia wielu
discontented,i będę nazwany niezadowolonym
restlessness,w
backwards,i
forwards,i
exultant,pozwolić mojemu sercu unosić się radosnym ruchem który pęczniejąc w kłopotach rozszerzył je o życie
expanded,się
quickened,w
actual,nie
Millions,Miliony skazane są na jeszcze gorszą zagładę niż moja a miliony w cichym buncie przeciwko ich losowi
stiller,Miliony skazane są na jeszcze gorszą zagładę niż moja a miliony w cichym buncie przeciwko ich losowi
rebellions,buntów
ferment,na
masses,buntów
stagnation,zbyt stagnacji
privileged,się do i na nie
puddings,do i
embroidering,do i
thoughtless,i
custom,i
ha,ten sam ha
eccentric,że
murmurs,w szmery
damper,Jej wygląd zawsze tłumił ciekawość wywołaną jej ustnymi dziwactwami
oral,Jej wygląd zawsze tłumił ciekawość wywołaną jej ustnymi dziwactwami
oddities,Jej wygląd zawsze tłumił ciekawość wywołaną jej ustnymi dziwactwami
staid,i
attach,i
monosyllabic,monosylabowa odpowiedź zwykle ucina każdy tego rodzaju wysiłek
viz,a mianowicie i głos
descriptive,i
vapid,i
seconded,się
ardour,się
accorded,się w
pliability,się
posted,i
Revenez,ma
bientôt,ma
amie,ma
chère,ma
Mdlle,ma do w się
Jeannette,Jeannette z pocałunkiem wyruszyłem
tolled,dzwon kościelny zabrzmiał gdy przechodziłem pod dzwonnicą
belfry,dzwon kościelny zabrzmiał gdy przechodziłem pod dzwonnicą
dimness,w się
gliding,w
mile,o i w
lane,i
blackberries,i
possessing,i
coral,i mnie
haws,i
holly,i
evergreen,nie było
hawthorn,nie było
bushes,i z
causewayed,nie było
browsed,Daleko i szeroko z każdej strony były tylko pola na których nie pasło się teraz bydło
hedge,i
stile,na
sheltering,Otulając się płaszczem i chowając dłonie w mufce nie czułem zimna choć mocno zamarzło
covering,i
causeway,na
brooklet,o czym świadczyła tafla lodu pokrywająca groblę gdzie mały strumyk teraz zakrzepły wylał się po gwałtownej odwilży kilka dni od
overflowed,o czym świadczyła tafla lodu pokrywająca groblę gdzie mały strumyk teraz zakrzepły wylał się po gwałtownej odwilży kilka dni od zalały mnie powodzie
battlemented,szara i krenelażowa sala była głównym obiektem w dolinie pode mną
vale,i
eastward,na
brightening,na
flow,i
currents,Moje ucho też wyczuwało przepływ prądów
dales,w jakich dolinach i głębinach nie mogłem powiedzieć
becks,wiele
threading,ale
betrayed,i do była często brak lub
tinkle,Spokój tego wieczoru zdradzał jednakowo brzęczenie najbliższych strumieni szelest najbardziej odległego brzęk dzwonka był równie ważny jak ich śmiech
streams,Spokój tego wieczoru zdradzał jednakowo brzęczenie najbliższych strumieni szelest najbardziej odległego
sough,Spokój tego wieczoru zdradzał jednakowo brzęczenie najbliższych strumieni szelest najbardziej odległego
ripplings,i tak
whisperings,i tak
tramp,włóczęga włóczęgi
clatter,włóczęga
wanderings,włóczęga aby moich
crag,i
boles,w
foreground,na w
efface,w
aërial,i
melts,w
din,Zgiełk był na grobli
windings,zakręty alei ukrywały ją ale zbliżała się Przez cały mój pierwszy sen podążałem krętami nieznanej drogi
fancies,i
tenanted,i
rubbish,wśród śmieci
recurred,się
vividness,a kiedy się powtarzały dojrzewająca młodość dodawała im wigoru i żywości wykraczających poza to co mogło dać dzieciństwo
Gytrash,się i
staying,nie w z na
pretercanine,w
steed,na jeździec i do wierzchowca
rider,na jeździec i że
tenant,nie na i
carcasses,a gobliny według moich wyobrażeń chociaż mogłyby dzierżawić nieme zwłoki bestii nie mogły pożądać schronienia w zwykłej ludzkiej postaci
beasts,a gobliny według moich wyobrażeń chociaż mogłyby dzierżawić nieme zwłoki bestii nie mogły pożądać schronienia w zwykłej ludzkiej postaci
covet,pożądać im go
commonplace,w
traveller,i podróżnika
sliding,i
exclamation,się
deuce,i
clattering,i
tumble,i
bounding,i w do
predicament,i w
barked,i w
echoed,i w do lub
snuffed,i
summon,wezwać
pronouncing,jednak wymawiał jakąś formułę która uniemożliwiła mu udzielenie mi bezpośredniej odpowiedzi prezent ma wiele twarzy prawda i należy rozważyć wszystko zanim wydamy opinię co do jego natury Panno Eyre nie jest pani tak nieskomplikowana jak Adèle Jednak dopiero wczoraj rano Bessie zrozumiała że wymawia twoje imię
whereupon,po czym
heaving,którym
barking,po czym rozpoczął się falujący tupiący klekotliwy proces któremu towarzyszyło szczekanie i wyjadanie które skutecznie oddalały mnie o kilka jardów
baying,po czym rozpoczął się falujący tupiący klekotliwy proces któremu towarzyszyło szczekanie i wyjadanie które skutecznie oddalały mnie o kilka jardów
effectually,i skutecznie to
established,koń został przywrócony a psa uciszono wydając Padnij pilocie Wędrowiec pochylony dotknął stopy i nogi jakby sprawdzał czy są zdrowe to jest ustalona odpowiedź Założyłem jeden dla chłopców
silenced,koń został przywrócony a psa uciszono wydając Padnij pilocie Wędrowiec pochylony dotknął stopy i nogi jakby sprawdzał czy są zdrowe Zostałem uciszony
Pilot,Pilot
stooping,się
ailed,się co i
officious,Byłem w nastroju by być pożytecznym a przynajmniej jak sądzę nadgorliwym bo teraz znów się do niego zbliżyłem
sprain,skręcenie
extorted,i
waxing,i
collared,Jego postać była owinięta płaszczem do jazdy konnej z futrzanym kołnierzem i stalowymi spinaczami
stern,i
ireful,i
unasked,Gdyby był przystojnym bohatersko wyglądającym młodym dżentelmenem nie odważyłbym się stać tak kwestionując go wbrew jego woli i oferując swoje usługi bez prośby
theoretical,Miałem teoretyczny szacunek i hołd dla piękna elegancji waleczności fascynacji
reverence,z
homage,i hołd nie
elegance,i
gallantry,Miałem teoretyczny szacunek i hołd dla piękna elegancji waleczności fascynacji
fascination,i
incarnate,w ani i
masculine,był
shunned,ale nie mnie jak od się mojego
lightning,i
antipathetic,ale powinienem był ani nie czegokolwiek
humoured,się
gaily,i się
vocation,do
renew,i
inquiries,w
roughness,ale zmarszczka szorstkość podróżnika uspokoiły mnie
Whose,Czyj to Czy
resident,Nie nie
merino,z
smaid,było pokojówki kiedyś tak bez
raiment,i
underwent,i
commission,Nie
bridle,do
spirited,i
trampling,w międzyczasie śmiertelnie bałem się deptania jej przednich stóp
fore,w międzyczasie śmiertelnie bałem się deptania jej przednich stóp
Mahomet,Rozumiem powiedział góra nigdy nie zostanie sprowadzona do Mahometa więc wszystko co możesz zrobić to pomóc Mahometowi wejść na górę
Excuse,Przepraszam
compels,mnie do na
limped,mnie do na
saddle,i
grimacing,wykrzywiając grymas gdy się wysilał bo skręciło mu to skręcenie
grimly,tak
wrenched,się i jej z
releasing,Teraz powiedział uwalniając swoją dolną wargę przed ciężkim ugryzieniem po prostu podaj mi mój bat
whip,Teraz powiedział uwalniając swoją dolną wargę przed ciężkim ugryzieniem po prostu podaj mi mój bat
spurred,teraz z do a to była która
dissimilar,i było niepodobne do wszystkich innych tam wiszących
firstly,po pierwsze
secondly,po drugie
hoofs,i
Newfoundland,i
pollard,i się
willow,i się
moonbeams,i się
waft,wiatru wśród
traversing,w
ascend,przez
darksome,przejść przez cichą salę wejść po ciemnych schodach poszukać własnego samotnego pokoiku a potem spotkać spokojną panią
quell,i
wakened,i
viewless,podniecenie obudzone moim spacerem ponownie prześlizgnąć się przez moje zdolności niewidoczne kajdany munduru i zbyt nieruchome istnienie Proszę wejdź kochany wędrowcze Powiedział to tak jakby mówił do wizji niewidocznej dla żadnego oka poza własnym
fetters,się kajdany
appreciating,istnienia którego przywilejów bezpieczeństwa i swobody nie potrafiłem docenić
repined,i
pavement,chodniku
shutters,okiennice szklanych drzwi były zamknięte
interior,Nie mogłem zajrzeć do wnętrza Wędrując po zniszczonych ścianach i przez zdewastowane wnętrze zebrałem dowody że nieszczęście nie nastąpiło późno
rayless,jak się
taint,i
aspired,w i
zenith,i
fathomless,i
measureless,w i
suffused,ciepły blask zalał go i dolne stopnie dębowych schodów
leaved,i
grate,i
irons,i
revealing,i
draperies,i
mingling,się
tones,i
gravity,i
beheld,i
wagged,a ogonem
visitant,tego
Lane,na Hay Lane
Bring,Przynieś mi Leah Jane mnie
Carter,Carter
XIII,ROZDZIAŁ XIII Pan
vacate,Adèle i ja musieliśmy teraz opuścić bibliotekę zawiadomił ją o opuszczeniu hotelu
requisition,byłby w codziennym zapotrzebowaniu na recepcję dla dzwoniących
callers,na dzwoniących
clang,lub
rill,płynęła przez nią struga ze świata zewnętrznego
coined,potem wymyśliła preteksty żeby zejść na dół aby jak przebiegle podejrzewać odwiedzić bibliotekę w której wiedziałem że nie jest potrzebna
pretexts,potem wymyśliła preteksty żeby zejść na dół aby jak przebiegle podejrzewać odwiedzić bibliotekę w której wiedziałem że nie jest potrzebna
shrewdly,obserwowały
incessantly,potem kiedy trochę się zdenerwowałem i kazałem jej usiedzieć spokojnie wciąż mówiła o swoim ami monsieur Edouardzie Fairfax de Rochester jak go nazywała
ami,potem kiedy trochę się zdenerwowałem i kazałem jej usiedzieć spokojnie wciąż mówiła o swoim ami monsieur Edouardzie Fairfax de Rochester jak go nazywała
Monsieur,się
Edouard,potem kiedy trochę się zdenerwowałem i kazałem jej usiedzieć spokojnie wciąż mówiła o swoim ami monsieur Edouardzie Fairfax de Rochester jak go nazywała
dubbed,potem kiedy trochę się zdenerwowałem i kazałem jej usiedzieć spokojnie wciąż mówiła o swoim ami monsieur Edouardzie Fairfax de Rochester jak go nazywała
prenomens,Nie słyszałem wcześniej jego prenomens
Et,pour
cela,cela
doit,pour
signifier,pour
qu,qu
il,il
y,y
aura,pour
dedans,pour
cadeau,cadeau
et,et
peut,pour
être,pour
aussi,pour
mademoiselle,mademoiselle
parlé,Monsieur a parlé de vous
demandé,et
nom,et
gouvernante,et
si,et
elle,et elle peu na
était,et
pas,pas
une,une Adèle
petite,że
personne,et
assez,et
mince,i
peu,et elle peu na
pâle,et
vrai,i
ce,est ce
appeals,z się
Left,Pozostawiony sam podszedłem do okna
snowflakes,i
shrubs,i
tracing,W czystym żarze nakreśliłem widok podobny do obrazu który pamiętałem z zamku w Heidelbergu nad Renem kiedy pani
Heidelberg,W czystym żarze nakreśliłem widok podobny do obrazu który pamiętałem z zamku w Heidelbergu nad Renem kiedy pani
Rhine,W czystym żarze nakreśliłem widok podobny do obrazu który pamiętałem z zamku w Heidelbergu nad Renem kiedy pani
fiery,i mojej
mosaic,Weszła Fairfax rozbijając przy jej wejściu ognistą mozaikę którą razem przebijałem i rozpraszając ciężkie niechciane myśli które zaczęły gromadzić się w mojej samotności
scattering,się
unwelcome,przed
toilette,Adèle
ornament,z i
parting,do się
keepsake,Miałam jedną małą perłową ozdobę którą podarowała mi panna Temple na pożegnanie
Unused,Nieużywany mimo że byłem nieznajomym był to raczej rozprawa aby stawić się w ten sposób formalnie wezwaną do pana
formally,Nieużywany mimo że byłem nieznajomym był to raczej rozprawa aby stawić się w ten sposób formalnie wezwaną do pana
precede,Fairfax wszedł do jadalni i trzymał się w jej cieniu kiedy przechodziliśmy przez to mieszkanie jeden z opisów często poprzedzających huragany tamtych klimatów
shade,w
basking,wygrzewając się w blasku i żarze wspaniałego ognia leżał Pilot Adèle klęczała obok niego
superb,i
jetty,z molo i
squarer,kwadratowe
horizontal,kwadratowe
decisive,Rozpoznałam jego zdecydowany nos bardziej charakterystyczny niż piękno Zdarzenie konfliktu jest decydujące
denoting,jego pełne nozdrza oznaczające pomyślałem chłód
choler,jego pełne nozdrza oznaczające pomyślałem chłód
divested,Jego kształt teraz pozbawiony płaszcza dostrzegłem jako zharmonizowany z jego fizjonomią
harmonised,Jego kształt teraz pozbawiony płaszcza dostrzegłem jako zharmonizowany z jego fizjonomią
squareness,Jego kształt teraz pozbawiony płaszcza dostrzegłem jako zharmonizowany z jego fizjonomią
physiognomy,i
chested,ani
flanked,ani
accost,w się czy nie zaczepiać
disembarrassed,w czy nie
caprice,kaprys
obligation,nie
quiescence,a
freak,wręcz przeciwnie przyzwoity spokój pod dziwnym zachowaniem dawał mi przewagę dziwak bardzo możliwy dla natury tak nagłej i upartej jak jego
eccentricity,Poza tym ekscentryczność postępowania była pikantna
proceeding,z i
piquant,i
statue,nie
Kindly,jak zwykle z
trite,i
condoled,jak zwykle z
commended,następnie pochwaliła jego cierpliwość i wytrwałość w tym wszystkim
perseverance,wytrwałość
rejoinder,Proszę pani chciałbym napić się herbaty była jedyną odpowiedzią jaką otrzymała a kiedy ktoś zadaje ci pytanie lub czyni uwagę na którą masz obowiązek odpowiedzieć wystukujesz okrągłą replikę która jeśli nie tępa jest co najmniej szorstka
assiduous,wytrwałą
celerity,a kiedy pojawiła się taca przystąpiła do układania filiżanek łyżek itp z wytrwałą szybkością
spill,to
monsieur,est
dans,Biorąc kubek z mojej ręki Adèle myśląc że chwila sprzyjająca skierowaniu prośby na moją korzyść zawołała N est ce pas monsieur qu il ya un cadeau pour Mademoiselle Eyre dans votre petit coffre Kto mówi o cadeaux powiedział szorstko
votre,na
petit,się
coffre,się
cadeaux,Biorąc kubek z mojej ręki Adèle myśląc że chwila sprzyjająca skierowaniu prośby na moją korzyść zawołała N est ce pas monsieur qu il ya un cadeau pour Mademoiselle Eyre dans votre petit coffre Kto mówi o cadeaux powiedział szorstko
gruffly,Biorąc kubek z mojej ręki Adèle myśląc że chwila sprzyjająca skierowaniu prośby na moją korzyść zawołała N est ce pas monsieur qu il ya un cadeau pour Mademoiselle Eyre dans votre petit coffre Kto mówi o cadeaux powiedział szorstko
irate,i
acceptance,myślisz
clamorously,żąda głośno cadeau gdy tylko mnie zobaczy
bush,na
deserts,w
entitle,nie
Sir,i
Humph,Humph
consoles,i
chiffonnières,i
marvelled,Byłem zdumiony skąd miałeś taki rodzaj twarzy
unaccountably,Kiedy przyszedłeś do mnie zeszłej nocy na Hay Lane myślałem z niewyjaśnionych baśni i miałem trochę ochoty zapytać czy oczarowałeś mojego konia niewytłumaczalnie tak
bewitched,w
damned,że
forsook,na
revels,Nie sądzę by lato żniwa czy zimowy księżyc kiedykolwiek bardziej świeciły na ich hulankach Pani
invaluable,mnie
eulogiums,pochwały mnie nie zniechęcają
bias,pochwały mnie nie zniechęcają
felling,Zaczęła od ścięcia mojego konia Pan powiedziała pani
nun,i
drilled,bez wątpienia jesteś dobrze wyszkolony w formach religijnych
parson,jest
worshipped,który jak jest
religieuses,jak jest
worship,jak jest swojemu nie
director,jak jest
priest,kapłan w
blasphemous,Brzmi bluźnierczo Nie lubiłem pana
disliked,Reed nie
meddling,jednocześnie pompatyczny i wtrącający się
dialogue,i
offending,I czy to była głowa i przód jego przestępstwa zażądał pan
superintendence,Głodził nas gdy miał wyłączny nadzór nad wydziałem zaopatrzenia zanim powołano komisję
provision,Głodził nas gdy miał wyłączny nadzór nad wydziałem zaopatrzenia zanim powołano komisję
readings,i
inditing,i
deaths,i
judgments,i
assented,masz więc teraz osiemnaście lat Zgodziłem się
Arithmetic,Widzisz arytmetyka jest przydatna
variance,do w którym temat
customary,Nie mogę zmienić moich zwyczajów dla jednego nowego osadzonego
interjected,prawdopodobnie mistrz ci pomógł Nie rzeczywiście Wtrąciłem się
pricks,to kłuje dumę
vouch,nie się
patchwork,Potrafię rozpoznać mozaikę W takim razie nic nie powiem a sam osądzisz panie Przyniosłem teczkę z biblioteki
Approach,Podejdź do stołu powiedział
crowding,Żadnego tłoku powiedział pan
copies,to
alternately,i na
premise,Po pierwsze muszę założyć że nie są one niczym cudownym
vividly,w i
embody,ich
livid,i
eclipse,w
billows,kłęby
submerged,na
cormorant,na
flecked,na
foam,i
beak,dziób tak i nie
gems,i
palette,i
distinctness,tak
Sinking,Tonąc pod ptakiem i masztem utopione zwłoki spojrzały w zieloną wodę
limb,się i
peak,i
slanting,na
Beyond,Powyżej i powyżej rozciągało się niebo ciemnoniebieskie jak o zmierzchu
crowned,kamiennymi
suffusion,linie poniżej były postrzegane jako przez przesiąkanie oparów
vapour,nie się
beamless,włosy spływały cienistym strumieniem jak bezkształtna chmura rozdarta przez burzę lub poród elektryczny
travail,włosy spływały cienistym strumieniem jak bezkształtna chmura rozdarta przez burzę lub poród elektryczny
Evening,się Wieczornej w
Star,Wieczornej
pinnacle,Trzeci ukazywał szczyt góry lodowej przebijającej polarne zimowe niebo
iceberg,góry lodowej w głowa
polar,Trzeci ukazywał szczyt góry lodowej przebijającej polarne zimowe niebo
muster,zbiór zorzy polarnej wznosił słabe lance zwarte wzdłuż horyzontu
northern,zbiór zorzy polarnej wznosił słabe lance zwarte wzdłuż horyzontu
lances,zbiór zorzy polarnej wznosił słabe lance zwarte wzdłuż horyzontu
serried,zbiór zorzy polarnej wznosił słabe lance zwarte wzdłuż horyzontu
Throwing,w głowa
colossal,w głowa
resting,w się
veil,i
glassiness,i
turban,w i z turbanem
gemmed,Nad świątyniami pośród zawiniętych turbanowych fałd czarnej draperii niejasnych w swoim charakterze i konsystencji jak chmura lśnił pierścień białego płomienia ozdobiony iskierkami o bardziej ponurym zabarwieniu
sparkles,Nad świątyniami pośród zawiniętych turbanowych fałd czarnej draperii niejasnych w swoim charakterze i konsystencji jak chmura lśnił pierścień białego płomienia ozdobiony iskierkami o bardziej ponurym zabarwieniu
lurid,i
tinge,Nad świątyniami pośród zawiniętych turbanowych fałd czarnej draperii niejasnych w swoim charakterze i konsystencji jak chmura lśnił pierścień białego płomienia ozdobiony iskierkami o bardziej ponurym zabarwieniu głębszy odcień cienia rzęsy pod lazurową powieką
likeness,podobieństwo
kingly,Ten blady półksiężyc był podobizną królewskiej korony
diademed,to
keenest,przyjemności z kiedykolwiek
artist,artysty i
dreamland,w
midsummer,długość letnich dni sprzyjała mojej skłonności do aplikowania I czułeś się zadowolony z wyniku swojej gorącej pracy Daleko stąd W środku lata nadszedł świąteczny mróz
labours,i
tormented,dręczony moim
handiwork,moim
powerless,w
realise,w
secured,i
skill,i
elfish,są elfami Myślałem o Herkulesie i Samsonie z ich zaklinaczami Byliście ty mały elfko Cicho panie
quells,tłumi i
Latmos,Latmos
caress,się
token,z
dismiss,na
strikingly,Rochester nie był szczególnie osobliwy pani
rejoined,do
changeful,i
Partly,a potem jeśli ma szczególne usposobienie należy to wziąć pod uwagę Dlaczego Częściowo dlatego że taka jest jego natura i nikt z nas nie może pomóc naszej naturze
harass,a że ma
unequal,ma z
tolerable,się
inconsolable,nie
misunderstandings,Myślę że było między nimi nieporozumienie
Rowland,Rowland
estate,do
diminish,się
Edward,Edward
fortune,i
forgiving,Nie jest zbyt wyrozumiały
unsettled,z i to
shuns,że
evasive,że to bardzo
clearer,nie
trials,Procesy Rochestera
averred,że
chiefly,że głównie się
evident,oczywiste że
XIV,ROZDZIAŁ XIV Przez kilka następnych dni niewiele widywałem z panem
rencontre,do a w lub
haughtily,się
acknowledging,do a w lub
gentlemanlike,i wygląd
affability,chłodne spojrzenie a czasem kłanianie się i uśmiechanie z uprzejmością dżentelmena
alternation,nie
ebb,przypływy i odpływy zależały od przyczyn zupełnie ode mnie niezwiązanych odpływ był spowodowany przejmującym rozczarowaniem
depended,przypływy i odpływy zależały od przyczyn zupełnie ode mnie niezwiązanych
disconnected,i
exhibit,się przy
Quaker,się
trim,się
retouch,się
disarrangement,się
delayed,bo z powodu jakiejś pomyłki jego przybycie było dotychczas opóźnione
gratified,i
carton,tam stał mały kartonik na stole kiedy weszliśmy do jadalni
Ma,Ma boite
boite,boite
genuine,w i
disembowelling,go i
anatomical,żadnymi
entrails,żadnymi
tiens,tiens
toi,tiens toi tranquille enfant
tranquille,tiens toi tranquille enfant
enfant,tiens toi tranquille enfant
comprends,comprends tu Adèle prawie nie potrzebowała ostrzeżenia poszła już na sofę ze swoim skarbem i była zajęta odwiązywaniem sznurka zabezpieczającego pokrywę
tu,comprends tu Adèle prawie nie potrzebowała ostrzeżenia poszła już na sofę ze swoim skarbem i była zajęta odwiązywaniem sznurka zabezpieczającego pokrywę
untying,comprends tu Adèle prawie nie potrzebowała ostrzeżenia poszła już na sofę ze swoim skarbem i była zajęta odwiązywaniem sznurka zabezpieczającego pokrywę
lid,na
impediment,przeszkody nie
envelopes,Po usunięciu tej przeszkody i uniesieniu pewnych srebrzystych kopert z bibułki po prostu wykrzyknęła Och ciel
tissue,Po usunięciu tej przeszkody i uniesieniu pewnych srebrzystych kopert z bibułki po prostu wykrzyknęła Och ciel
ciel,Po usunięciu tej przeszkody i uniesieniu pewnych srebrzystych kopert z bibułki po prostu wykrzyknęła Och ciel
Que,Que c est beau a potem pozostał pochłonięty ekstatyczną kontemplacją
ecstatic,Que c est beau a potem pozostał pochłonięty ekstatyczną kontemplacją
bachelor,do
associations,i
tête,tête
à,à i że
Confound,Pomieszaj te uprzejmości
neglect,nie
wed,jak
despatched,a i do
repletion,Zabroniłem Adele rozmawiać ze mną o jej prezentach a ona przepełnia się
auditress,mieć dobroć służyć jej jako audytorka i interlocutrice
interlocutrice,mieć dobroć służyć jej jako audytorka i interlocutrice
lap,na
porcelain,i
ivory,i jej kości słoniowej
waxen,jej
host,Gospodarz w jak
festal,blask który zapalono przed obiadem wypełnił pokój świątecznym blaskiem
loftier,obficie i
sparkled,a czy nie
probable,ale myślę że to bardzo prawdopodobne
indulgent,i
preciously,w
cushioning,w
hewn,w
softness,i jego
conventionally,myślisz że jestem przystojny Gdybym się zastanawiał odpowiedziałbym na to pytanie w sposób konwencjonalnie niejasny i uprzejmy
nonnette,masz aurę małej nonnette
piercingly,przenikliwie twarz jego oczy
brusque,a kiedy ktoś zadaje ci pytanie lub czyni uwagę na którą masz obowiązek odpowiedzieć wystukujesz okrągłą replikę która jeśli nie tępa jest co najmniej szorstka
impromptu,Powinienem był odpowiedzieć że na pytanie o pozory nie było łatwo udzielić zaimprowizowanej odpowiedzi
Beauty,Doprawdy piękno bez znaczenia
pretence,pod
outrage,pod moje
stroking,pod
placidity,pod
sly,pod
penknife,pod mnie
repartee,Nie miałem zamiaru niczego ponosić i tą igłą repartee powstrzymam cię również od krawędzi zatoki
answerable,za
Criticise,Krytykuj mnie
horizontally,się
intellectual,i
organs,się i w
suave,się
benevolence,ani
philanthropist,i
prominences,na
indicate,na się
unfledged,nieopierzonych
unfostered,nieopierzonych
Fortune,i
kneaded,twardy
India,Indii do
pervious,jednak przebijał jeszcze przez szparę lub dwie iz jednym czującym punktem w środku bryły
sentient,jednak przebijał jeszcze przez szparę lub dwie iz jednym czującym punktem w środku bryły
Decidedly,nadzieję z
busies,poza tym jest wygodna bo odciąga te twoje poszukujące oczy od mojej fizjonomii i zajmuje ich czesankowymi kwiatami dywanu
worsted,poza tym jest wygodna bo odciąga te twoje poszukujące oczy od mojej fizjonomii i zajmuje ich czesankowymi kwiatami dywanu
gregarious,i
communicative,i
disproportionate,jego
unconscious,w jego nie tłumacza tej
haughty,i
reliance,w
intrinsic,w
adventitious,w
atone,zadośćuczyni
attractiveness,w
importunes,co
complacent,i niezbyt zadowolony z siebie ani uległy uśmiech
submissive,uległy
Accordingly,i
dive,w
Stubborn,Uparty powiedział i zirytowany
superiority,i
legitimate,nie
divert,i
galled,i
cankering,i
nail,i
deigned,i
apology,i
insensible,i
Ask,nie z
stated,z
battled,z
roamed,z
globe,z
irritating,bardzo
Reply,że
Promptly,Szybko wypowiedziane
catching,z i
masters,ich podwładni
subordinates,ich podwładni
Paid,ich podwładni
subordinate,i
mercenary,na
hector,na
dependency,że z
heartily,z
consent,się
conventional,nie
omission,że z
insolence,że z
informality,że z
Humbug,się
venture,się
generalities,się
inaccuracy,Jednak w myślach podaję ci rękę za twoją odpowiedź pomimo jej nieścisłości
affectation,na
misapprehension,nie wręcz przeciwnie sztuczność chłód lub głupie ordynarne niezrozumienie czyjegoś znaczenia są zwykłą nagrodą za szczerość
