"June 12, 1942
","12 czerwca 1942
"
"As for me, I was pleased too, because I sensed a strong feeling of fellowship, which I only remember having had with my girlfriends
","Jeśli chodzi o mnie, też byłem zadowolony, bo wyczułem silne poczucie wspólnoty, które pamiętam tylko z koleżankami
"
"Yours, Anne
","Pozdrawiam, Anne
"
"TUESDAY, FEBRUARY 15, 1944
","WTOREK, 15 LUTEGO 1944
"
"The minor run-in with Dussel had several repercussions, for which he had only himself to blame
","Niewielkie starcie z Dusselem miało kilka reperkusji, za które mógł winić tylko siebie
"
"Monday evening Dussel came in to see Mother and told her triumphantly that Peter had asked him that morning if he'd slept well, and then added how sorry he was about what had happened Sunday evening -- he hadn't really meant what he'd said
","W poniedziałek wieczorem Dussel przyszedł zobaczyć się z matką i powiedział jej triumfalnie, że Peter zapytał go tego ranka, czy dobrze spał, a potem dodał, że jest mu przykro z powodu tego, co wydarzyło się w niedzielny wieczór - tak naprawdę nie miał na myśli tego, co miał na myśli. d powiedział
"
"Dussel assured him he hadn't taken it to heart
","Dussel zapewnił go, że nie wziął tego do serca
"
"So everything was right as rain again
","Więc znowu wszystko było w porządku jak deszcz
"
"Mother passed this story on to me, and I was secretly amazed that Peter, who'd been so angry at Dussel, had humbled himself, despite all his assurances to the contrary
","Matka przekazała mi tę historię i w głębi duszy byłem zdumiony, że Peter, który był tak zły na Dussela, uniżył się, pomimo wszystkich jego zapewnień, że jest inaczej.
"
"I couldn't refrain from sounding Peter out on the subject, and he instantly replied that Dussel had been lying
","Nie mogłem powstrzymać się od sondowania Petera na ten temat, a on natychmiast odpowiedział, że Dussel kłamał
"
"You should have seen Peter's face
","Powinieneś zobaczyć twarz Petera
"
"I wish I'd had a camera
","Żałuję, że nie mam aparatu
"
"Indignation, rage, indecision, agitation and much more crossed his face in rapid succession
","Oburzenie, wściekłość, niezdecydowanie, wzburzenie i wiele więcej przemknęło przez jego twarz w krótkich odstępach czasu
"
"That evening Mr
","Tego wieczoru panie
"
"van Daan and Peter really told Dussel off
","van Daan i Peter naprawdę powiedzieli Dusselowi
"
"But it couldn't
","Ale to nie mogło
"
"have been all that bad, since Peter had another dental appointment today
","było tak źle, odkąd Peter miał dzisiaj kolejną wizytę u dentysty
"
"Actually, they never wanted to speak to each other again
","Właściwie nigdy więcej nie chcieli ze sobą rozmawiać
"
"WEDNESDAY, FEBRUARY 16, 1944
","ŚRODA, 16 LUTEGO 1944
"
"Peter and I hadn't talked to each other all day, except for a few meaningless words
","Peter i ja nie rozmawialiśmy ze sobą przez cały dzień, z wyjątkiem kilku bezsensownych słów
"
"It was too cold to go up to the attic, and anyway, it was Margot's birthday
","Było za zimno, żeby wejść na strych, a poza tym były to urodziny Margot
"
"At twelve-thirty he came to look at the presents and hung around chatting longer than was strictly necessary, something he'd never have done otherwise
","O dwunastej trzydzieści przyszedł spojrzeć na prezenty i kręcił się w kółko rozmawiając dłużej, niż było to absolutnie konieczne, coś, czego nigdy nie zrobiłby inaczej
"
"But I got my chance in the afternoon
","Ale po południu dostałem swoją szansę
"
"Since I felt like spoiling Margot on her birthday, I went to get the coffee, and after that the potatoes
","Ponieważ miałem ochotę zepsuć Margot w jej urodziny, poszedłem po kawę, a potem po ziemniaki
"
"When I came to Peter's room, he immediately took his papers off the stairs, and I asked if I should close the trapdoor to the attic
","Kiedy przyszedłem do pokoju Petera, natychmiast zdjął papiery ze schodów i zapytałem, czy powinienem zamknąć klapę na strych
"
"he said
","powiedział
"
"go ahead
","śmiało
"
"When you're ready to come back down, just knock and I'll open it for you
","Kiedy będziesz gotowy, aby zejść na dół, po prostu zapukaj, a otworzę je dla Ciebie
"
"I thanked him, went upstairs and spent at least ten minutes searching around in the barrel for the smallest potatoes
","Podziękowałem mu, poszedłem na górę i spędziłem co najmniej dziesięć minut szukając w beczce najmniejszych ziemniaków
"
"My back started aching, and the attic was cold
","Zaczęły mnie boleć plecy, a strych był zimny
"
"Naturally, I didn't bother to knock but opened the trap-door myself
","Oczywiście nie zawracałem sobie głowy pukaniem, ale sam otworzyłem klapę
"
"But he obligingly got up and took the pan out of my hands
","Ale posłusznie wstał i wyjął patelnię z moich rąk
"
"I did my best, but I couldn't find any smaller ones
","Dałem z siebie wszystko, ale nie mogłem znaleźć mniejszych
"
"Did you look in the big barrel
","Czy zajrzałeś do dużej beczki
"
"Yes, I've been through them all
","Tak, przeszedłem przez wszystkie
"
"By this time I was at the bottom of the stairs, and he examined the pan of potatoes he was still holding
","W tym czasie byłem już na dole schodów, a on przyjrzał się patelni z ziemniakami, którą wciąż trzymał
"
"Oh, but these are fine
","Och, ale te są w porządku
"
"he said, and added, as I took the pan from him
","- powiedział i dodał, biorąc od niego patelnię
"
"My compliments
","Wyrazy uznania
"
"As he said this, he gave me such a warm, tender look that I started glowing inside
","Kiedy to powiedział, posłał mi tak ciepłe, czułe spojrzenie, że zacząłem świecić w środku
"
"I could tell he wanted to please me, but since he couldn't make a long complimentary speech, he said everything with his eyes
","Mogłem powiedzieć, że chciał mnie zadowolić, ale ponieważ nie mógł wygłosić długiej pochwalnej przemowy, powiedział wszystko oczami
"
"I understood him so well and was very grateful
","Zrozumiałem go tak dobrze i byłem mu bardzo wdzięczny
"
"It still makes me happy to think back to those words and that look
","Wciąż cieszę się, gdy wracam myślami do tych słów i tego spojrzenia
"
"When I went downstairs, Mother said she needed more potatoes, this time for dinner, so I volunteered to go back up
","Kiedy zszedłem na dół, mama powiedziała, że ​​potrzebuje więcej ziemniaków, tym razem na obiad, więc zgłosiłem się na ochotnika, żeby wrócić na górę
"
"When I entered Peter's room, I apologized for disturbing him again
","Kiedy wszedłem do pokoju Petera, przeprosiłem, że znowu mu przeszkadzałem
"
"As I was going up the stairs, he stood up, went over to stand between the stairs and the wall, grabbed my arm and tried to stop me
","Kiedy wchodziłem po schodach, wstał, podszedł, by stanąć między schodami a ścianą, złapał mnie za ramię i próbował mnie zatrzymać
"
"I'll go
","pójdę
"
"he said
","powiedział
"
"I have to go upstairs anyway
","I tak muszę iść na górę
"
"I replied that it wasn't really necessary, that I didn't have to get only the small ones this time
","Odpowiedziałem, że tak naprawdę nie jest to konieczne, że tym razem nie muszę kupować tylko tych małych
"
"Convinced, he let go of my arm
","Przekonany, puścił moje ramię
"
"On my way back, he
","W drodze powrotnej on
"
"opened the trapdoor and once again took the pan from me
","otworzył klapę i jeszcze raz zabrał mi patelnię
"
"Standing by the door, I asked
","Stojąc przy drzwiach, zapytałem
"
"What are you working on
","Nad czym pracujesz
"
"he replied
","odpowiedział
"
"I asked if I could take a look at his lessons
","Zapytałem, czy mógłbym spojrzeć na jego lekcje
"
"Then I went to wash my hands and sat down across from him on the divan
","Potem poszedłem umyć ręce i usiadłem naprzeciw niego na sofie
"
"After I'd explained some French to him, we began to talk
","Po tym, jak wytłumaczyłem mu trochę francuskiego, zaczęliśmy rozmawiać
"
"He told me that after the war he wanted to go to the Dutch East Indies and live on a rubber plantation
","Powiedział mi, że po wojnie chciał pojechać do Holenderskich Indii Wschodnich i zamieszkać na plantacji kauczuku
"
"He talked about his life at home, the black market and how he felt like a worthless bum
","Opowiadał o swoim życiu w domu, czarnym rynku i poczuciu się jak bezwartościowy włóczęga
"
"I told him he had a big inferiority complex
","Powiedziałem mu, że ma duży kompleks niższości
"
"He talked about the war, saying that Russia and England were bound to go to war against each other, and about the Jews
","Mówił o wojnie, mówiąc, że Rosja i Anglia muszą iść na wojnę przeciwko sobie io Żydach
"
"He said life would have been much easier if he'd been a Christian or could become one after the war
","Powiedział, że życie byłoby o wiele łatwiejsze, gdyby był chrześcijaninem lub mógłby nim zostać po wojnie
"
"I asked if he wanted to be baptized, but that wasn't what he meant either
","Zapytałem, czy chce zostać ochrzczony, ale też nie o to mu chodziło
"
"He said he'd never be able to feel like a Christian, but that after the war he'd make sure nobody would know he was Jewish
","Powiedział, że nigdy nie będzie w stanie poczuć się chrześcijaninem, ale po wojnie upewni się, że nikt nie będzie wiedział, że jest Żydem
"
"I felt a momentary pang
","Poczułem chwilowe ukłucie
"
"It's such a shame he still has a touch of dishonesty in him
","Szkoda, że ​​wciąż ma w sobie odrobinę nieuczciwości
"
"Peter added
","- dodał Peter
"
"The Jews have been and always will be the chosen people
","Żydzi byli i zawsze będą narodem wybranym
"
"I answered
","Odpowiedziałam
"
"Just this once, I hope they'll be chosen for something good
","Mam nadzieję, że choć raz zostaną wybrani do czegoś dobrego
"
"But we went on chatting very pleasantly, about Father, about judging human character and all sorts of things, so many that I can't even remember them all
","Ale nadal rozmawialiśmy bardzo przyjemnie, o Ojcu, o osądzaniu ludzkiego charakteru i wielu innych rzeczach, tak wielu, że nawet nie pamiętam ich wszystkich
"
"I left at a quarter past five, because Bep had arrived
","Wyszedłem kwadrans po piątej, ponieważ przyjechał Bep
"
"That evening he said something else I thought was nice
","Tego wieczoru powiedział coś jeszcze, co uznałem za miłe
"
"We were talking about the picture of a movie star I'd once given him, which has been hanging in his room for at least a year and a half
","Rozmawialiśmy o zdjęciu gwiazdy filmowej, które mu kiedyś dałem, które wisi w jego pokoju od co najmniej półtora roku
"
"He liked it so much that I offered to give him a few more
","Spodobało mu się to tak bardzo, że zaproponowałem, że dam mu jeszcze kilka
"
"he replied
","odpowiedział
"
"I'd rather keep the one I've got
","Wolę zatrzymać ten, który mam
"
"I look at it every day, and the people in it have become my friends
","Patrzę na to codziennie, a ludzie, którzy się w nim znajdują, stali się moimi przyjaciółmi
"
"I now have a better understanding of why he always hugs Mouschi so tightly
","Teraz lepiej rozumiem, dlaczego zawsze tak mocno przytula Mouschiego
"
"He obviously needs affection too
","On oczywiście potrzebuje też uczucia
"
"I forgot to mention something else he was talking about
","Zapomniałem wspomnieć o czymś innym, o czym mówił
"
"He said
","Powiedział
"
"No, I'm not afraid, except when it comes to things about myself, but I'm working on that
","Nie, nie boję się, z wyjątkiem rzeczy o sobie, ale pracuję nad tym
"
"Peter has a huge inferiority complex
","Piotr ma ogromny kompleks niższości
"
"For example, he always thinks he's so stupid and we're so smart
","Na przykład, on zawsze myśli, że jest taki głupi, a my jesteśmy tacy sprytni
"
"When I help him with French, he thanks me a thousand times
","Kiedy pomagam mu z francuskim, dziękuje mi tysiące razy
"
"One of these days I'm going to say
","Pewnego dnia powiem
"
"Oh, cut it out
","Och, przestań
"
"You're much better at English and geography
","Jesteś znacznie lepszy z angielskiego i geografii
"
"Anne Frank
","Anna Frank
"
"THURSDAY, FEBRUARY 17, 1944
","CZWARTEK, 17 LUTEGO 1944
"
"Dear Kitty,
","Drogi Kiciu,
"
"I was upstairs this morning, since I promised Mrs
","Byłem dziś na górze, ponieważ obiecałem pani
"
"van D
","van D.
"
"I'd read her some of my stories
","Przeczytałem jej niektóre z moich historii
"
"I began with
","Zacząłem od
"
"Eva's Dream
","Sen Ewy
"
"which she liked a lot, and then I read a few passages from
","co jej się bardzo podobało, a potem przeczytałem kilka fragmentów
"
"The Secret Annex
","Tajny załącznik
"
"which had her in stitches
","który miał ją w szwach
"
"Peter also listened for a while
","Piotr też przez chwilę słuchał
"
"just the last part
","tylko ostatnia część
"
"and asked if I'd come to his room sometime to read more
","i zapytał, czy przyjdę kiedyś do jego pokoju, żeby przeczytać więcej
"
"I decided I had to take a chance right then and there, so I got my notebook and let him read that bit where Cady and Hans talk about God
","Postanowiłem, że muszę zaryzykować w tym momencie, więc wziąłem zeszyt i pozwoliłem mu przeczytać ten fragment, w którym Cady i Hans rozmawiają o Bogu
"
"I can't really tell what kind of impression it made on him
","Naprawdę nie potrafię powiedzieć, jakie wrażenie wywarło to na nim
"
"He said something I don't quite remember, not about whether it was good, but about the idea behind it
","Powiedział coś, czego nie pamiętam, nie o tym, czy to było dobre, ale o idei, która za tym stoi
"
"I told him I just wanted him to see that I didn't write only amusing things
","Powiedziałem mu, że chcę tylko, żeby zobaczył, że nie piszę tylko zabawnych rzeczy
"
"He nodded, and I left the room
","Skinął głową, a ja wyszedłem z pokoju
"
"We'll see if I hear anything more
","Zobaczymy, czy coś więcej usłyszę
"
"Yours, Anne Frank
","Pozdrawiam, Anne Frank
"
"FRIDAY, FEBRUARY 18, 1944
","PIĄTEK, 18 LUTEGO 1944
"
"My dearest Kitty,
","Moja najdroższa koteczku,
"
"Whenever I go upstairs, it's always so I can see
","Zawsze, gdy idę na górę, zawsze widzę
"
"Now that I have something to look forward to, my life here has improved greatly
","Teraz, gdy mam się na co czekać, moje życie tutaj znacznie się poprawiło
"
"At least the object of my friendship is always here, and I don't have to be afraid of rivals
","Przynajmniej przedmiot mojej przyjaźni jest zawsze tutaj i nie muszę się bać rywali
"
"except for Margot
","z wyjątkiem Margot
"
"Don't think I'm in love, because I'm not, but I do have the feeling that something beautiful is going to develop between Peter and me, a kind of friendship and a feeling of trust
","Nie myśl, że jestem zakochany, bo tak nie jest, ale mam wrażenie, że między mną a Peterem rozwinie się coś pięknego, rodzaj przyjaźni i poczucie zaufania
"
"I go see him whenever I get the chance, and it's not the way it used to be, when he didn't know what to make of me
","Chodzę do niego, ilekroć mam okazję i nie jest tak jak kiedyś, kiedy nie wiedział, co ze mną zrobić
"
"On the contrary, he's still talking away as I'm heading out the door
","Wręcz przeciwnie, wciąż gada, kiedy wychodzę za drzwi
"
"Mother doesn't like me going upstairs
","Matka nie lubi, jak chodzę na górę
"
"She always says I'm bothering Peter and that I should leave him alone
","Zawsze mówi, że przeszkadzam Peterowi i że powinienem go zostawić w spokoju
"
"Honestly, can't she credit me with some intuition? She always looks at me so oddly when I go to Peter's room
","Szczerze, czy nie może przypisać mi jakiejś intuicji? Zawsze tak dziwnie na mnie patrzy, kiedy idę do pokoju Petera
"
"When I come down again, she asks me where I've been
","Kiedy znów schodzę, pyta mnie, gdzie byłem
"
"It's terrible, but I'm beginning to hate her
","To okropne, ale zaczynam jej nienawidzić
"
"Yours, Anne M
","Pozdrawiam, Anne M.
"
"SATURDAY, FEBRUARY 19, 1944
","SOBOTA, 19 LUTEGO 1944
"
"Dearest Kitty,
","Najdroższa Kotku,
"
"It's Saturday again, and that should tell you enough
","Znowu jest sobota i to wystarczy
"
"This morning all was
","Tego ranka wszystko było
"
"I spent nearly an hour upstairs making meatballs, but I only spoke to
","Spędziłem na górze prawie godzinę, robiąc klopsiki, ale rozmawiałem tylko z nimi
"
"in passing
","mimochodem
"
"When everyone went upstairs at two-thirty to either read or take a nap, I went downstairs, with blanket and all, to sit at the desk and read or write
","Kiedy wszyscy szli na górę o wpół do czwartej, żeby poczytać lub zdrzemnąć się, zszedłem na dół, z kocem i wszystkim, aby usiąść przy biurku i czytać lub pisać
"
"Before long I couldn't take it anymore
","Wkrótce nie mogłem już tego znieść
"
"I put my head in my arms and sobbed my heart out
","Położyłem głowę w ramionach i wypłakałem serce
"
"The tears streamed down my cheeks, and I felt desperately unhappy
","Łzy spływały po moich policzkach i czułam się rozpaczliwie nieszczęśliwa
"
"Oh, if only' 'he
","Och, gdyby tylko '' on
"
"had come to comfort me
","przyszedł, aby mnie pocieszyć
"
"It was past four by the time I went upstairs again
","Kiedy znowu poszedłem na górę, minęła czwarta
"
"At five o'clock I set off to get some potatoes, hoping once again that we'd meet, but while I was still in the bathroom fixing my hair, he went to see Boche
","O piątej wyszedłem po ziemniaki, mając nadzieję, że jeszcze raz się spotkamy, ale kiedy jeszcze byłam w łazience poprawiając sobie włosy, on poszedł zobaczyć się z Boche'em
"
"I wanted to help Mrs
","Chciałem pomóc pani
"
"van D
","van D.
"
"and went upstairs with my book and everything, but suddenly I felt the tears coming again
","i poszedłem na górę z moją książką i wszystkim innym, ale nagle poczułem, że znowu płyną łzy
"
"I raced downstairs to the bathroom, grabbing the hand mirror on the way
","Zbiegłam na dół do łazienki, chwytając po drodze lusterko
"
"I sat there on the toilet, fully dressed, long after I was through, my tears leaving dark spots on the red of my apron, and I felt utterly dejected
","Siedziałem na toalecie, w pełni ubrany, długo po tym, jak skończyłem, moje łzy pozostawiły ciemne plamy na czerwieni fartucha i poczułem się całkowicie przygnębiony
"
"Here's what was going through my mind
","Oto, co przychodziło mi do głowy
"
"Oh, I'll never reach Peter this way
","Och, nigdy nie dotrę w ten sposób do Petera
"
"Who knows, maybe he doesn't even like me and he doesn't need anyone to confide in
","Kto wie, może nawet mnie nie lubi i nie potrzebuje nikogo, komu mógłby się zwierzyć
"
"Maybe he only thinks of me in a casual sort of way
","Może myśli o mnie tylko w zwyczajny sposób
"
"I'll have to go back to being alone, without anyone to confide in and without Peter, without hope, comfort or anything to look forward to
","Będę musiał wrócić do bycia samemu, bez nikogo, komu można by się zwierzyć i bez Piotra, bez nadziei, pocieszenia i czegokolwiek, czego można oczekiwać
"
"Oh, if only I could rest my head on his shoulder and not feel so hopelessly alone and deserted
","Och, gdybym tylko mógł oprzeć głowę na jego ramieniu i nie czuć się tak beznadziejnie samotny i opuszczony
"
"Who knows, maybe he doesn't care for me at all and looks at the others in the same tender way
","Kto wie, może w ogóle mnie nie obchodzi i patrzy na innych z taką samą czułością
"
"Maybe I only imagined it was especially for me
","Może tylko sobie wyobrażałem, że to specjalnie dla mnie
"
"Oh, Peter, if only you could hear me or see me
","Och, Peter, gdybyś tylko mógł mnie usłyszeć lub zobaczyć
"
"If the truth is disappointing, I won't be able to bear it
","Jeśli prawda jest rozczarowująca, nie będę w stanie tego znieść
"
"A little later I felt hopeful and full of expectation again, though my tears were still flowing -- on the inside
","Nieco później znów poczułem się pełen nadziei i oczekiwania, chociaż moje łzy wciąż płynęły - w środku
"
"Yours, Anne M
","Pozdrawiam, Anne M.
"
"SUNDAY, FEBRUARY 20, 1944
","NIEDZIELA 20 LUTEGO 1944
"
"What happens in other people's houses during the rest of the week happens here in the Annex on Sundays
","To, co dzieje się w domach innych ludzi przez resztę tygodnia, dzieje się tutaj w Aneksie w niedziele
"
"While other people put on their best clothes and go strolling in the sun, we scrub, sweep and do the laundry
","Podczas gdy inni zakładają najlepsze ubrania i spacerują w słońcu, my szorujemy, zamiatamy i robimy pranie
"
"Eight o'clock
","Godzina Ósma
"
"Though the rest of us prefer to sleep in, Dussel gets up at eight
","Chociaż reszta z nas woli spać, Dussel wstaje o ósmej
"
"He goes to the bathroom, then downstairs, then up again and then to the bathroom, where he devotes a whole hour to washing himself
","Idzie do łazienki, potem na dół, potem znowu na górę, a potem do łazienki, gdzie poświęca całą godzinę na mycie się
"
"The stoves are lit, the blackout screen is taken down, and Mr
","Piece są zapalone, zasłona zaciemniająca jest zdjęta, a pan
"
"van Daan heads for the bathroom
","van Daan idzie do łazienki
"
"One of my Sunday morning ordeals is having to lie in bed and look at Dussel's back when he's praying
","Jedną z moich niedzielnych porannych prób jest to, że muszę leżeć w łóżku i patrzeć na plecy Dussela, kiedy się modli
"
"I know it
","wiem to
"
"sounds strange, but a praying Dussel is a terrible sight to behold
","brzmi dziwnie, ale modlący się Dussel to straszny widok
"
"It's not that he cries or gets sentimental, not at all, but he does spend a quarter of an hour -- an entire fifteen minutes -- rocking from his toes to his heels
","Nie chodzi o to, że płacze lub staje się sentymentalny, wcale nie, ale spędza kwadrans - całe piętnaście minut - kołysząc się od stóp do głów
"
"Back and forth, back and forth
","Tam iz powrotem, tam iz powrotem
"
"It goes on forever, and if I don't shut my eyes tight, my head starts to spin
","To trwa wiecznie i jeśli nie zamknę mocno oczu, moja głowa zacznie się kręcić
"
"The van Daans whistle
","Gwizd van Daansa
"
"the bathroom's free
","łazienka jest wolna
"
"In the Frank family quarters, the first sleepy faces are beginning to emerge from their pillows
","W kwaterach rodziny Franków z poduszek zaczynają wyłaniać się pierwsze zaspane twarze
"
"Then everything happens fast, fast, fast
","Wtedy wszystko dzieje się szybko, szybko, szybko
"
"Margot and I take turns doing the laundry
","Margot i ja na zmianę robimy pranie
"
"Since it's quite cold downstairs, we put on pants and head scarves
","Ponieważ na dole jest dość zimno, zakładamy spodnie i chusty na głowę
"
"Meanwhile, Father is busy in the bathroom
","Tymczasem ojciec jest zajęty w łazience
"
"Either Margot or I have a turn in the bathroom at eleven, and then we're all clean
","Albo Margot, albo ja mamy kolejkę w łazience o jedenastej, a potem wszyscy jesteśmy czyści
"
"I won't dwell on this, since there's enough talk about food without my bringing the subject up as well
","Nie będę się nad tym rozwodzić, ponieważ wystarczająco dużo mówi się o jedzeniu bez poruszania tego tematu
"
"We each go our separate ways
","Każdy z nas idzie własną drogą
"
"Father, clad in overalls, gets down on his hands and knees and brushes the rug so vigorously that the room is enveloped in a cloud of dust
","Ojciec, ubrany w kombinezon, klęka na rękach i kolanach i szczotkuje dywan tak energicznie, że pokój spowija chmura kurzu
"
"Dussel makes the beds
","Dussel ścieli łóżka
"
"all wrong, of course
","oczywiście wszystko źle
"
"always whistling the same Beethoven violin concerto as he goes about his work
","zawsze gwiżdżąc tym samym koncertem skrzypcowym Beethovena, wykonując swoją pracę
"
"Mother can be heard shuffling around the attic as she hangs up the washing
","Słychać szuranie matki po strychu, odkładając pranie
"
"van Daan puts on his hat and disappears into the lower regions, usually followed by Peter and Mouschi
","van Daan zakłada kapelusz i znika w niższych rejonach, zwykle za nimi idą Peter i Mouschi
"
"van D
","van D.
"
"dons a long apron, a black wool jacket and overshoes, winds a red wool scarf around her head, scoops up a bundle of dirty laundry and, with a well-rehearsed washerwoman's nod, heads downstairs
","wkłada długi fartuch, czarną wełnianą kurtkę i kalosze, owija czerwoną wełnianą chustkę wokół głowy, zgarnia plik brudnej bielizny i dobrze wyćwiczonym skinieniem praczki kieruje się na dół
"
"Margot and I do the dishes and straighten up the room
","Margot i ja zmywamy naczynia i przygotowujemy pokój
"
"WEDNESDAY, FEBRUARY 23, 1944
","ŚRODA, 23 LUTEGO 1944
"
"My dearest Kitty,
","Moja najdroższa koteczku,
"
"The weather's been wonderful since yesterday, and I've perked up quite a bit
","Pogoda jest cudowna od wczoraj i trochę się ożywiłem
"
"My writing, the best thing I have, is coming along well
","Moje pisanie, najlepsze, co mam, układa się dobrze
"
"I go to the attic almost every morning to get the stale air out of my lungs
","Niemal każdego ranka chodzę na strych, aby usunąć z płuc nieświeże powietrze
"
"This morning when I went there, Peter was busy cleaning up
","Tego ranka, kiedy tam poszedłem, Peter był zajęty sprzątaniem
"
"He finished quickly and came over to where I was sitting on my favorite spot on the floor
","Skończył szybko i podszedł do mojego ulubionego miejsca na podłodze
"
"The two of us looked out at the blue sky, the bare chestnut tree glistening with dew, the seagulls and other birds glinting with silver as they swooped through the air, and we were so moved and entranced that we couldn't speak
","We dwoje patrzyliśmy na błękitne niebo, nagi kasztan lśniący od rosy, mewy i inne ptaki lśniące srebrem, gdy przelatywały w powietrzu, i byliśmy tak poruszeni i oczarowani, że nie mogliśmy mówić.
"
"He stood with his head against a thick beam, while I sat
","Stał z głową opartą o grubą belkę, a ja siedziałem
"
"We breathed in the air, looked outside and both felt that the spell shouldn't be broken with words
","Odetchnęliśmy powietrzem, wyjrzeliśmy na zewnątrz i oboje czuliśmy, że zaklęcia nie należy łamać słowami
"
"We remained like this for a long while, and by the time he had to go to the loft to chop wood, I knew he was a good, decent boy
","Pozostaliśmy tacy przez długi czas, a zanim musiał iść na strych, aby rąbać drewno, wiedziałem, że jest dobrym, przyzwoitym chłopcem
"
"He climbed the ladder to the loft, and I followed
","Wspiął się po drabinie na strych, a ja poszedłem za nim
"
"during the fifteen minutes he was chopping wood, we didn't say a word either
","podczas piętnastu minut rąbania drewna też nie powiedzieliśmy ani słowa
"
"I watched him from where I was standing, and could see he was obviously doing his best
","Obserwowałem go z miejsca, w którym stałem, i widziałem, że najwyraźniej robi wszystko, co w jego mocy
"
"to chop the right way and show off his strength
","odrąbać właściwą drogę i pokazać swoją siłę
"
"But I also looked out the open window, letting my eyes roam over a large part of Amsterdam, over the rooftops and on to the horizon, a strip of blue so pale it was almost invisible
","Ale wyjrzałem też przez otwarte okno, pozwalając moim oczom wędrować po dużej części Amsterdamu, ponad dachami i horyzontem, pasem błękitu tak bladym, że był prawie niewidoczny.
"
"As long as this exists
","Tak długo, jak to istnieje
"
"I thought
","myślałem
"
"this sunshine and this cloudless sky, and as long as I can enjoy it, how can I be sad
","to słońce i bezchmurne niebo, i dopóki mogę się nim cieszyć, jak mogę być smutny
"
"The best remedy for those who are frightened, lonely or unhappy is to go outside, somewhere they can be alone, alone with the sky, nature and God
","Najlepszym lekarstwem na przestraszonych, samotnych lub nieszczęśliwych jest wyjście na zewnątrz, gdzie mogą być sami, sam na sam z niebem, naturą i Bogiem
"
"For then and only then can you feel that everything is as it should be and that God wants people to be happy amid nature's beauty and simplicity
","Bo wtedy i tylko wtedy możesz poczuć, że wszystko jest tak, jak powinno i że Bóg chce, aby ludzie byli szczęśliwi wśród piękna i prostoty natury
"
"As long as this exists, and that should be forever, I know that there will be solace for every sorrow, whatever the circumstances
","Dopóki to istnieje i powinno trwać na zawsze, wiem, że będzie ukojenie na każdy smutek, niezależnie od okoliczności
"
"I firmly believe that nature can bring comfort to all who suffer
","Głęboko wierzę, że natura może przynieść ukojenie wszystkim, którzy cierpią
"
"Oh, who knows, perhaps it won't be long before I can share this overwhelming feeling of happiness with someone who feels the same as I do
","Och, kto wie, może niedługo będę mógł podzielić się tym przytłaczającym uczuciem szczęścia z kimś, kto czuje to samo co ja
"
"Yours, Anne
","Pozdrawiam, Anne
"
"To Peter
","Do Piotra
"
"We've been missing out on so much here, so very much, and for such a long time
","Tęskniliśmy tutaj tak bardzo, tak bardzo i przez tak długi czas
"
"I miss it just as much as you do
","Tęsknię za tym tak samo jak ty
"
"I'm not talking about external things, since we're well provided for in that sense
","Nie mówię o sprawach zewnętrznych, ponieważ w tym sensie jesteśmy dobrze zaopatrzeni
"
"I mean the internal things
","Mam na myśli sprawy wewnętrzne
"
"Like you, I long for freedom and fresh air, but I think we've been amply compensated for their loss
","Tak jak ty tęsknię za wolnością i świeżym powietrzem, ale myślę, że zostaliśmy sowicie wynagrodzeni za ich stratę
"
"On the inside, I mean
","To znaczy od wewnątrz
"
"This morning, when I was sitting in front of the window and taking a long, deep look outside at God and nature, I was happy, just plain happy
","Tego ranka, kiedy siedziałem przed oknem i długo i głęboko patrzyłem na Boga i naturę, byłem szczęśliwy, po prostu szczęśliwy
"
"Peter, as long as people feel that kind of happiness within themselves, the joy of nature, health and much more besides, they'll always be able to recapture that happiness
","Piotrze, tak długo, jak ludzie odczuwają w sobie ten rodzaj szczęścia, radość z natury, zdrowie i wiele więcej, zawsze będą w stanie odzyskać to szczęście
"
"Riches, prestige, everything can be lost
","Bogactwo, prestiż, wszystko można stracić
"
"But the happiness in your own heart can only be dimmed
","Ale szczęście w twoim własnym sercu można tylko przyćmić
"
"it will always be there, as long as you live, to make you happy again
","będzie tam zawsze, tak długo, jak będziesz żył, aby znów cię uszczęśliwić
"
"Whenever you're feeling lonely or sad, try going to the loft on a beautiful day and looking outside
","Ilekroć czujesz się samotny lub smutny, spróbuj udać się na poddasze w piękny dzień i spojrzeć na zewnątrz
"
"Not at the houses and the rooftops, but at the sky
","Nie na domy i dachy, ale na niebo
"
"As long as you can look fearlessly at the sky, you'll know that you're pure within and will find happiness once more
","Dopóki możesz nieustraszenie patrzeć w niebo, będziesz wiedział, że jesteś czysty w sobie i ponownie odnajdziesz szczęście
"
"SUNDAY, FEBRUARY 27, 1944
","NIEDZIELA, 27 LUTEGO 1944
"
"My dearest Kitty,
","Moja najdroższa koteczku,
"
"From early in the morning to late at night, all I do is think about Peter
","Od wczesnego rana do późnej nocy myślę tylko o Piotrze
"
"I fall asleep with his image before my eyes, dream about him and wake up with
","Zasypiam z jego wizerunkiem przed oczami, śnię o nim i budzę się z nim
"
"him still looking at me
","on wciąż na mnie patrzy
"
