"June 12, 1942
","12 czerwca 1942
"
"they then descended the staircase almost as noiselessly as a bright mist rolls down a hill
","następnie zeszli po schodach prawie tak bezszelestnie, jak jasna mgła spływa ze wzgórza
"
"Their collective appearance had left on me an impression of high-born elegance, such as I had never before received
","Ich zbiorowy wygląd pozostawił na mnie wrażenie szlachetnej elegancji, jakiej nigdy wcześniej nie doświadczyłem
"
"I found Adèle peeping through the schoolroom door, which she held ajar
","Zastałem Adèle zaglądającą przez drzwi do klasy, które trzymała uchylone
"
"What beautiful ladies!” cried she in English
","Jakie piękne panie! ” płakała po angielsku
"
"Oh, I wish I might go to them
","Och, chciałbym iść do nich
"
"Do you think Mr
","Czy myślisz, że Mr.
"
"Rochester will send for us by-and-bye, after dinner?” “No, indeed, I don’t
","Rochester przyśle po nas na pożegnanie po obiedzie? - Nie, rzeczywiście, nie mam
"
"Rochester has something else to think about
","Rochester ma coś innego do przemyślenia
"
"Never mind the ladies to-night
","Mniejsza o dzisiejsze panie
"
"perhaps you will see them to-morrow
","może zobaczysz je jutro
"
"here is your dinner.” She was really hungry, so the chicken and tarts served to divert her attention for a time
","oto twój obiad ”. Była naprawdę głodna, więc kurczak i tarty posłużyły jej na jakiś czas, by odwrócić jej uwagę
"
"It was well I secured this forage, or both she, I, and Sophie, to whom I conveyed a share of our repast, would have run a chance of getting no dinner at all
","Dobrze, że zabezpieczyłem tę paszę, bo albo ona, ja i Sophie, której przekazałem część naszego posiłku, mieliby szansę nie dostać żadnego obiadu
"
"every one downstairs was too much engaged to think of us
","każdy na dole był zbyt zajęty, żeby o nas myśleć
"
"The dessert was not carried out till after nine and at ten footmen were still running to and fro with trays and coffee-cups
","Deser został podany dopiero po dziewiątej, ao dziesiątej lokaje wciąż biegali tam iz powrotem z tacami i filiżankami do kawy
"
"I allowed Adèle to sit up much later than usual
","Pozwoliłem Adèle usiąść znacznie później niż zwykle
"
"for she declared she could not possibly go to sleep while the doors kept opening and shutting below, and people bustling about
","bo oświadczyła, że ​​nie może zasnąć, kiedy drzwi w dole ciągle się otwierają i zamykają, a ludzie krzątają się wokół
"
"Besides, she added, a message might possibly come from Mr
","Poza tym, dodała, wiadomość mogłaby pochodzić od pana
"
"Rochester when she was undressed
","Rochester, kiedy została rozebrana
"
"et alors quel dommage!” I told her stories as long as she would listen to them
","et alors quel dommage! ” Opowiadałem jej historie tak długo, jak długo ich słuchała
"
"and then for a change I took her out into the gallery
","a potem dla odmiany zabrałem ją do galerii
"
"The hall lamp was now lit, and it amused her to look over the balustrade and watch the servants passing backwards and forwards
","Lampa w holu była teraz zapalona i bawiło ją, gdy patrzyła przez balustradę i patrzyła, jak służący przechodzą tam i naprzód.
"
"When the evening was far advanced, a sound of music issued from the drawing-room, whither the piano had been removed
","Kiedy wieczór był już daleko, z salonu, z którego wyjęto fortepian, dobiegła muzyka
"
"Adèle and I sat down on the top step of the stairs to listen
","Adèle i ja usiedliśmy na najwyższym stopniu schodów, żeby nasłuchiwać
"
"Presently a voice blent with the rich tones of the instrument
","Obecnie głos zlewał się z bogatą tonacją instrumentu
"
"it was a lady who sang, and very sweet her notes were
","to była pani, która śpiewała, a jej nuty były bardzo słodkie
"
"The solo over, a duet followed, and then a glee
","Skończyło się solo, po nim nastąpił duet, a potem radość
"
"a joyous conversational
","radosna rozmowa
"
"murmur filled up the intervals
","szmer wypełnił przerwy
"
"I listened long
","Długo słuchałem
"
"suddenly I discovered that my ear was wholly intent on analysing the mingled sounds, and trying to discriminate amidst the confusion of accents those of Mr
","nagle odkryłem, że moje ucho było całkowicie skupione na analizie pomieszanych dźwięków i próbowaniu rozróżnienia wśród pomieszanych akcentów akcentów pana
"
"and when it caught them, which it soon did, it found a further task in framing the tones, rendered by distance inarticulate, into words
","a kiedy je złapał, co wkrótce zrobił, znalazł dalsze zadanie w ujęciem tonów, oddanych nieartykułowanymi przez odległość, w słowa
"
"The clock struck eleven
","Zegar wybił jedenastą
"
"I looked at Adèle, whose head leant against my shoulder
","Spojrzałem na Adèle, której głowa opierała się o moje ramię
"
"her eyes were waxing heavy, so I took her up in my arms and carried her off to bed
","jej oczy stały się ciężkie, więc wziąłem ją w ramiona i zaniosłem do łóżka
"
"It was near one before the gentlemen and ladies sought their chambers
","Było już blisko pierwszej, zanim panowie i damy zaczęli szukać swoich komnat
"
"The next day was as fine as its predecessor
","Następny dzień był równie piękny, jak jego poprzednik
"
"it was devoted by the party to an excursion to some site in the neighbourhood
","została ona poświęcona przez imprezę na wycieczkę do jakiegoś miejsca w okolicy
"
"They set out early in the forenoon, some on horseback, the rest in carriages
","Wyruszyli wcześnie przed południem, niektórzy na koniach, reszta w powozach
"
"I witnessed both the departure and the return
","Byłem świadkiem wyjazdu i powrotu
"
"Miss Ingram, as before, was the only lady equestrian
","Panna Ingram, jak poprzednio, była jedyną damą jeździecką
"
"and, as before, Mr
","i, jak poprzednio, Mr.
"
"Rochester galloped at her side
","Rochester galopował u jej boku
"
"the two rode a little apart from the rest
","obaj jechali trochę poza resztą
"
"I pointed out this circumstance to Mrs
","Zwróciłem pani uwagę na tę okoliczność
"
"Fairfax, who was standing at the window with me— “You said it was not likely they should think of being married,” said I, “but you see Mr
","Fairfax, który stał ze mną przy oknie. - Powiedziałeś, że jest mało prawdopodobne, by pomyśleli o małżeństwie - powiedziałem.
"
"Rochester evidently prefers her to any of the other ladies.” “Yes, I daresay
","Rochester najwyraźniej woli ją od innych pań. „Tak, śmiem twierdzić
"
"no doubt he admires her.” “And she him,” I added
","bez wątpienia ją podziwia. - A ona on - dodałem
"
"look how she leans her head towards him as if she were conversing confidentially
","spójrz, jak pochyla głowę w jego stronę, jakby rozmawiała poufnie
"
"I wish I could see her face
","Chciałabym móc zobaczyć jej twarz
"
"I have never had a glimpse of it yet.” “You will see her this evening,” answered Mrs
","Nigdy jeszcze tego nie widziałem ”. „Zobaczysz ją dziś wieczorem” - odpowiedziała pani
"
"I happened to remark to Mr
","Zdarzyło mi się powiedzieć panu
"
"Rochester how much Adèle wished to be introduced to the ladies, and he said
","Rochester, jak bardzo Adèle chciała być przedstawiana damom, a on powiedział
"
"let her come into the drawing-room after dinner
","niech wejdzie do salonu po obiedzie
"
"and request Miss Eyre to accompany her.’” “Yes
","i poproś pannę Eyre, aby jej towarzyszyła ”.„ Tak
"
"he said that from mere politeness
","powiedział to ze zwykłej grzeczności
"
"I need not go, I am sure,” I answered
","Jestem pewien, że nie muszę iść - odpowiedziałem
"
"Well, I observed to him that as you were unused to company, I did not think you would like appearing before so gay a party—all strangers
","Cóż, zauważyłem, że skoro nie byłeś przyzwyczajony do towarzystwa, nie sądziłem, że chciałbyś pojawić się przed taką wesołą imprezą - wszyscy obcy
"
"and he replied, in his quick way—‘Nonsense
","a on odpowiedział szybko: „Bzdury
"
"If she objects, tell her it is my particular wish
","Jeśli się sprzeciwia, powiedz jej, że to moje szczególne życzenie
"
"and if she resists, say I shall come and fetch her in case of contumacy.’” “I will not give him that trouble,” I answered
","a jeśli będzie się opierała, powiedz, że przyjdę i zabiorę ją w razie zarazy ”.„ Nie sprawię mu tego kłopotu ”- odpowiedziałem
"
"I will go, if no better may be
","Pójdę, jeśli nie może być lepiej
"
"but I don’t like it
","ale mi się to nie podoba
"
"Shall you be there, Mrs
","Będziesz tam, pani
"
"Fairfax?” “No
","Fairfax? ” ""Nie
"
"I pleaded off, and he admitted my plea
","Błagałem, a on przyznał się do mojej prośby
"
"I’ll tell you how to manage so as to avoid the embarrassment of making a formal entrance, which is the most disagreeable part of the business
","Powiem ci, jak sobie poradzić, aby uniknąć wstydu związanego z formalnym wejściem, które jest najbardziej nieprzyjemną częścią biznesu
"
"You must go into the drawing-room
","Musisz wejść do salonu
"
"while it is empty, before the ladies leave the dinner-table
","gdy jest pusty, zanim panie odejdą od stołu
"
"choose your seat in any quiet nook you like
","wybierz swoje miejsce w dowolnym cichym zakątku
"
"you need not stay long after the gentlemen come in, unless you please
","nie musisz zostawać długo po wejściu panów, chyba że zechcesz
"
"just let Mr
","po prostu pozwól panu
"
"Rochester see you are there and then slip away —nobody will notice you.” “Will these people remain long, do you think?” “Perhaps two or three weeks, certainly not more
","Rochester zobaczy, że tam jesteś, a potem wymknie się - nikt cię nie zauważy. „Czy myślisz, że ci ludzie pozostaną na dłużej?” - Może dwa, trzy tygodnie, na pewno nie dłużej
"
"After the Easter recess, Sir George Lynn, who was lately elected member for Millcote, will have to go up to town and take his seat
","Po przerwie wielkanocnej Sir George Lynn, który został ostatnio wybrany członkiem Millcote, będzie musiał udać się do miasta i zająć swoje miejsce
"
"I daresay Mr
","Śmiem powiedzieć, panie
"
"Rochester will accompany him
","Rochester będzie mu towarzyszył
"
"it surprises me that he has already made so protracted a stay at Thornfield.” It was with some trepidation that I perceived the hour approach when I was to repair with my charge to the drawing-room
","zaskakuje mnie, że odbył już tak długi pobyt w Thornfield ”. Z pewnym niepokojem spostrzegłem, że zbliża się godzina, kiedy miałem z podopiecznym naprawić salon.
"
"Adèle had been in a state of ecstasy all day, after hearing she was to be presented to the ladies in the evening
","Adèle przez cały dzień była w stanie ekstazy, po usłyszeniu, że wieczorem ma być przedstawiona damom
"
"and it was not till Sophie commenced the operation of dressing her that she sobered down
","i dopiero wtedy, gdy Sophie rozpoczęła operację ubierania jej, otrzeźwiała
"
"Then the importance of the process quickly steadied her, and by the time she had her curls arranged in well-smoothed, drooping clusters, her pink satin frock put on, her long sash tied, and her lace mittens adjusted, she looked as grave as any judge
","Wtedy znaczenie tego procesu szybko ją uspokoiło, a zanim uporządkowała swoje loki w dobrze wygładzone, opadające kępki, włożyła różową satynową sukienkę, zawiązała długą szarfę i dopasowała koronkowe rękawiczki, wyglądała równie poważnie jak każdy sędzia
"
"No need to warn her not to disarrange her attire
","Nie trzeba jej ostrzegać, żeby nie zmieniała swojego stroju
"
"when she was dressed, she sat demurely down in her little chair, taking care previously to lift up the satin skirt for fear she should crease it, and assured me she would not stir thence till I was ready
","kiedy była ubrana, usiadła skromnie na swoim małym krzesełku, uważając wcześniej, aby podnieść satynową spódnicę z obawy, że powinna ją pognieść, i zapewniła mnie, że nie będzie się ruszać, dopóki nie będę gotowa
"
"This I quickly was
","Tak szybko się stało
"
"my best dress
","moja najlepsza sukienka
"
"the silver-grey one, purchased for Miss Temple’s wedding, and never worn since
","srebrno-szary, kupiony na ślub panny Temple i od tamtej pory nigdy nie noszony
"
"was soon put on
","wkrótce został założony
"
"my hair was soon smoothed
","moje włosy szybko się wygładziły
"
"my sole ornament, the pearl brooch, soon assumed
","Wkrótce przybrała moja jedyna ozdoba, perłowa broszka
"
"We descended
","Zeszliśmy
"
"Fortunately there was another entrance to the drawing-room than that through the saloon where they were all seated at dinner
","Na szczęście do salonu prowadziło inne wejście niż przez salon, w którym wszyscy siedzieli przy kolacji
"
"We found the apartment vacant
","Znaleźliśmy wolne mieszkanie
"
"a large fire burning silently on the marble hearth, and wax candles shining in bright solitude, amid the exquisite flowers with which the tables were adorned
","wielki ogień płonący cicho na marmurowym palenisku i świece woskowe lśniące w jasnej samotności pośród przepięknych kwiatów, którymi zdobiono stoły
"
"The crimson curtain hung before the arch
","Przed łukiem wisiała karmazynowa zasłona
"
"slight as was the separation this drapery formed from the party in the adjoining saloon, they spoke in so low a key that nothing of their conversation could be distinguished beyond a soothing murmur
","nieznaczne, jak oddzielenie, które ta draperia utworzyła od przyjęcia w sąsiednim salonie, mówili tak cicho, że nic z ich rozmowy nie można było odróżnić poza kojącym pomrukiem
"
"Adèle, who appeared to be still under the influence of a most solemnising impression, sat down, without a word, on the footstool I pointed out to her
","Adèle, która wydawała się wciąż pod wpływem bardzo uroczystego wrażenia, bez słowa usiadła na podnóżku, który jej wskazałem.
"
"I retired to a window-seat, and taking a book from a table near, endeavoured to read
","Wycofałem się na miejsce przy oknie i wziąłem książkę z pobliskiego stolika, próbując poczytać
"
"Adèle brought her stool to my feet
","Adèle podniosła stołek na moje nogi
"
"ere long she touched my knee
","Wkrótce dotknęła mojego kolana
"
"What is it, Adèle?” “Est-ce que je ne puis pas prendrie une seule de ces fleurs magnifiques, mademoiselle? Seulement pour completer ma toilette.” “You think too much of your ‘toilette,’ Adèle
","O co chodzi, Adèle? - Est-ce que je ne puis pas prendrie une seule de ces fleurs magnifiques, mademoiselle? Seulement pour completeer ma toilette. ” - Za dużo myślisz o swojej „toalecie”, Adèle
"
"but you may have a flower.”
","ale możesz mieć kwiat ”.
"
"And I took a rose from a vase and fastened it in her sash
","Wziąłem różę z wazonu i zapiąłem ją w jej szarfie
"
"She sighed a sigh of ineffable satisfaction, as if her cup of happiness were now full
","Westchnęła z niewysłowioną satysfakcją, jakby jej kielich szczęścia był teraz pełny
"
"I turned my face away to conceal a smile I could not suppress
","Odwróciłem twarz, by ukryć uśmiech, którego nie mogłem powstrzymać
"
"there was something ludicrous as well as painful in the little Parisienne’s earnest and innate devotion to matters of dress
","było coś śmiesznego i bolesnego w szczerym i wrodzonym przywiązaniu małej paryżanki do spraw ubioru
"
"A soft sound of rising now became audible
","Słychać było teraz cichy dźwięk wznoszenia się
"
"the curtain was swept back from the arch
","zasłona została odsunięta od łuku
"
"through it appeared the dining-room, with its lit lustre pouring down light on the silver and glass of a magnificent dessert-service covering a long table
","przez nią ukazała się jadalnia, której oświetlony blask padał światłem na srebrne i szklane kieliszki wspaniałego serwisu deserowego przykrywającego długi stół
"
"a band of ladies stood in the opening
","na otwarciu stała grupa pań
"
"they entered, and the curtain fell behind them
","weszli i zasłona opadła za nimi
"
"There were but eight
","Było ich tylko osiem
"
"yet, somehow, as they flocked in, they gave the impression of a much larger number
","jednak w jakiś sposób, gdy się gromadzili, sprawiali wrażenie znacznie większej liczby
"
"Some of them were very tall
","Niektórzy z nich byli bardzo wysocy
"
"many were dressed in white
","wielu było ubranych na biało
"
"and all had a sweeping amplitude of array that seemed to magnify their persons as a mist magnifies the moon
","a wszyscy mieli ogromną amplitudę szyku, który zdawał się powiększać ich osoby, tak jak mgła powiększa księżyc
"
"I rose and curtseyed to them
","Wstałem i dygnąłem przed nimi
"
"one or two bent their heads in return, the others only stared at me
","jeden czy dwóch w zamian pochyliło głowy, pozostali tylko się na mnie gapili
"
"They dispersed about the room, reminding me, by the lightness and buoyancy of their movements, of a flock of white plumy birds
","Rozeszli się po pokoju, przypominając mi lekkością i pływalnością swoich ruchów o stadzie białych, pieniowatych ptaków.
"
"Some of them threw themselves in half-reclining positions on the sofas and ottomans
","Niektórzy z nich rzucili się w półleżących pozycjach na sofach i taflach
"
"some bent over the tables and examined the flowers and books
","niektórzy pochylali się nad stołami i oglądali kwiaty i książki
"
"the rest gathered in a group round the fire
","reszta zebrała się w grupie wokół ogniska
"
"all talked in a low but clear tone which seemed habitual to them
","wszyscy mówili niskim, ale wyraźnym tonem, który wydawał się im nawykiem
"
"I knew their names afterwards, and may as well mention them now
","Znałem później ich nazwiska i równie dobrze mogę je teraz wymienić
"
"First, there was Mrs
","Najpierw była pani
"
"Eshton and two of her daughters
","Eshton i dwie jej córki
"
"She had evidently been a handsome woman, and was well preserved still
","Najwyraźniej była przystojną kobietą i była dobrze zachowana
"
"Of her daughters, the eldest, Amy, was rather little
","Najstarsza z jej córek, Amy, była raczej mała
"
"naive, and child-like in face and manner, and piquant in form
","naiwny i dziecinny z twarzy i manier oraz pikantny w formie
"
"her white muslin dress and blue sash became her well
","jej biała muślinowa sukienka i niebieska szarfa sprawiły, że była zdrowa
"
"The second, Louisa, was taller and more elegant in figure
","Druga, Louisa, była wyższa i miała bardziej elegancką figurę
"
"with a very pretty face, of that order the French term minois chiffoné
","z bardzo ładną buzią, z tego rzędu francuskiego określenia minois chiffoné
"
"both sisters were fair as lilies
","obie siostry były piękne jak lilie
"
"Lady Lynn was a large and stout personage of about forty, very erect, very haughty-looking, richly dressed in a satin robe of changeful sheen
","Lady Lynn była dużą i tęgą postacią około czterdziestki, bardzo wyprostowaną, bardzo wyniosłą, bogato ubraną w satynową szatę o zmiennym połysku.
"
"her dark hair shone glossily under the shade of an azure plume, and within the circlet of a band of gems
","jej ciemne włosy lśniły błyszcząco w cieniu lazurowego pióra i w diademie pasma klejnotów
"
"Colonel Dent was less showy
","Pułkownik Dent był mniej efektowny
"
"but, I thought, more lady-like
","ale, pomyślałem, bardziej damski
"
"She had a slight figure, a pale, gentle face, and fair hair
","Miała drobną figurę, bladą, delikatną twarz i jasne włosy
"
"Her black satin dress, her scarf of rich foreign lace, and her pearl ornaments, pleased me better than the rainbow radiance of the titled dame
","Jej czarna satynowa sukienka, jej szal z bogatej obcej koronki i jej perłowe ozdoby sprawiły mi większą przyjemność niż tęczowy blask utytułowanej damy.
"
"But the three most distinguished—partly, perhaps, because the tallest figures of the band—were the Dowager Lady Ingram and her daughters, Blanche and Mary
","Ale trzema najwybitniejszymi - częściowo, być może z powodu najwyższych postaci zespołu - były wdowa Lady Ingram i jej córki, Blanche i Mary
"
"They were all three of the loftiest stature of women
","Wszystkie trzy kobiety należały do ​​najwznioślejszych
"
"The Dowager might be between forty and fifty
","Wdowa mogła mieć od czterdziestu do pięćdziesięciu lat
"
"her shape was still fine
","jej kształt był nadal w porządku
"
"her hair
","jej włosy
"
"by candle-light at least
","przynajmniej przez światło świec
"
"still black
","nadal czarny
"
"her teeth, too, were still apparently perfect
","jej zęby też były najwyraźniej idealne
"
"Most people would have termed her a splendid woman of her age
","Większość ludzi nazwałby ją wspaniałą kobietą w swoim wieku
"
"and so she was, no doubt, physically speaking
","i tak bez wątpienia była fizycznie
"
"but then there was an expression of almost insupportable haughtiness in her bearing and countenance
","ale potem w jej postawie i obliczu była wyraz nie do zniesienia wyniosłości
"
"She had Roman features and a double chin, disappearing into a throat like a pillar
","Miała rzymskie rysy i podwójny podbródek, znikający w gardle jak filar
"
"these features appeared to me not only inflated and darkened, but even furrowed with pride
","te rysy wydawały mi się nie tylko nadęte i pociemniałe, ale nawet zmarszczone z dumy
"
"and the chin was sustained by the same principle, in a position of almost preternatural erectness
","a podbródek podtrzymywał ta sama zasada, w pozycji niemal nadnaturalnej wyprostu
"
"She had, likewise, a fierce and a hard eye
","Miała również ostre i twarde oko
"
"it reminded me of Mrs
","przypominał mi panią
"
"she mouthed her words in speaking
","mówiła bezgłośnie
"
"her voice was deep, its inflections very pompous, very dogmatical,—very intolerable, in short
","jej głos był głęboki, a tonacje bardzo pompatyczne, bardzo dogmatyczne - krótko mówiąc - bardzo nie do zniesienia
"
"A crimson velvet robe, and a shawl turban of some gold-wrought Indian fabric, invested her
","Szkarłatna aksamitna szata i szalowy turban z jakiegoś kutego złota indyjskiego materiału
"
"I suppose she thought
","Myślę, że pomyślała
"
"with a truly imperial dignity
","z prawdziwie imperialną godnością
"
"Blanche and Mary were of equal stature,—straight and tall as poplars
","Blanche i Mary były równego wzrostu - proste i wysokie jak topole
"
"Mary was too slim for her height, but Blanche was moulded like a Dian
","Mary była zbyt szczupła jak na swój wzrost, ale Blanche była ukształtowana jak Dian
"
"I regarded her, of course, with special interest
","Spojrzałem na nią oczywiście ze szczególnym zainteresowaniem
"
"First, I wished to see whether her appearance accorded with Mrs
","Najpierw chciałem sprawdzić, czy jej wygląd zgadza się z panią
"
"Fairfax’s description
","Opis Fairfaxa
"
"secondly, whether it at all resembled the fancy miniature I had painted of her
","po drugie, czy w ogóle przypominał wymyślną miniaturę, którą jej namalowałem
"
"and thirdly—it will out!—whether it were such as I should fancy likely to suit Mr
","i po trzecie - wyjdzie! - czy to było takie, jakie przypuszczałem, by pasowało do pana
"
"Rochester’s taste
","Gust Rochestera
"
"As far as person went, she answered point for point, both to my picture and Mrs
","Jeśli chodzi o osobę, odpowiedziała punkt po punkcie, zarówno na moje zdjęcie, jak i na Panią
"
"Fairfax’s description
","Opis Fairfaxa
"
"The noble bust, the sloping shoulders, the graceful neck, the dark eyes and black ringlets were all there
","Szlachetny popiersie, opadające ramiona, wdzięczna szyja, ciemne oczy i czarne loki były tam wszystko
"
"but her face? Her face was like her mother’s
","ale jej twarz? Jej twarz była podobna do twarzy jej matki
"
"a youthful unfurrowed likeness
","młodzieńczy, niewyszukany podobieństwo
"
"the same low brow, the same high features, the same pride
","te same niskie brwi, te same wysokie cechy, ta sama duma
"
"It was not, however, so saturnine a pride
","Nie było to jednak tak nasycone dumą
"
"she laughed continually
","śmiała się nieustannie
"
"her laugh was satirical, and so was the habitual expression of her arched and haughty lip
","jej śmiech był satyryczny, podobnie jak zwykły wyraz jej wygiętej i wyniosłej wargi
"
"Genius is said to be self-conscious
","Mówi się, że geniusz jest samoświadomy
"
"I cannot tell whether Miss Ingram was a genius, but she was self-conscious—remarkably self-conscious indeed
","Nie potrafię powiedzieć, czy panna Ingram była geniuszem, ale była skrępowana - rzeczywiście niezwykle skrępowana
"
"She entered into a discourse on botany with the gentle Mrs
","Zaczęła rozmowę o botanice z łagodną panią
"
"It seemed Mrs
","Wydawało się, że pani
"
"Dent had not studied that science
","Dent nie studiował tej nauki
"
"though, as she said, she liked flowers, “especially wild ones
","chociaż, jak powiedziała, lubiła kwiaty, „zwłaszcza dzikie
"
"Miss Ingram had, and she ran over its vocabulary with an air
","Panna Ingram to zrobiła i przejrzała jej słownictwo
"
"I presently perceived she was
","Obecnie zauważyłem, że tak
"
"what is vernacularly termed
","co jest określane potocznie
"
"trailing Mrs
","za panią
"
"that is, playing on her ignorance—her trail might be clever, but it was decidedly not good-natured
","to znaczy bawiąc się swoją ignorancją - jej trop może być sprytny, ale zdecydowanie nie był dobroduszny
"
"She played
","Ona grała
"
"her execution was brilliant
","jej wykonanie było genialne
"
"she sang
","śpiewała
"
"her voice was fine
","jej głos był w porządku
"
"she talked French apart to her mamma
","rozmawiała z mamą po francusku
"
"and she talked it well, with fluency and with a good accent
","i mówiła to dobrze, płynnie iz dobrym akcentem
"
"Mary had a milder and more open countenance than Blanche
","Mary miała łagodniejszą i bardziej otwartą twarz niż Blanche
"
"softer features too, and a skin some shades fairer
","bardziej miękkie rysy i skóra jaśniejsza o kilka odcieni
"
"Miss Ingram was dark as a Spaniard
","Panna Ingram była mroczna jak Hiszpanka
"
"but Mary was deficient in life
","ale Marii brakowało życia
"
"her face lacked expression, her eye lustre
","jej twarzy brakowało wyrazu, oczu błyszczało
"
"she had nothing to say, and having once taken her seat, remained fixed
","nie miała nic do powiedzenia, a kiedy raz zajęła swoje miejsce, pozostała nieruchoma
"
"like a statue in its niche
","jak posąg w swojej niszy
"
"The sisters were both attired in spotless white
","Siostry były ubrane w nieskazitelną biel
"
"And did I now think Miss Ingram such a choice as Mr
","I czy teraz uważałem, że panna Ingram to taki wybór, jak pan
"
"Rochester would be likely to make? I could not tell—I did not know his taste in female beauty
","Rochester prawdopodobnie zrobi? Nie mogłem powiedzieć - nie znałem jego gustu w kobiecym pięknie
"
"If he liked the majestic, she was the very type of majesty
","Jeśli lubił majestat, była typem majestatu
"
"then she was accomplished, sprightly
","wtedy była skończona, żywiołowo
"
"Most gentlemen would admire her, I thought
","Pomyślałem, że większość dżentelmenów ją podziwia
"
"and that he did admire her, I already seemed to have obtained proof
","i że ją podziwiał, wydawało mi się, że już uzyskałem dowód
"
"to remove the last shade of doubt, it remained but to see them together
","aby usunąć ostatni cień wątpliwości, pozostało tylko zobaczyć ich razem
"
"You are not to suppose, reader, that Adèle has all this time been sitting motionless on the stool at my feet
","Czytelniku, nie możesz przypuszczać, że Adèle przez cały ten czas siedziała nieruchomo na stołku u moich stóp
"
"when the ladies entered, she rose, advanced to meet them, made a stately reverence, and said with gravity— “Bon jour, mesdames.” And Miss Ingram had looked down at her with a mocking air, and exclaimed, “Oh, what a little puppet!” Lady Lynn had remarked, “It is Mr
","kiedy panie weszły, wstała, wyszła na ich spotkanie, okazała dostojny szacunek i powiedziała z powagą: „Bon jour, mesdames”. A panna Ingram spojrzała na nią z kpiącym wyrazem twarzy i wykrzyknęła: „Och, co za mała marionetka!” Lady Lynn zauważyła: „To jest pan
"
"Rochester’s ward, I suppose—the little French girl he was speaking of.” Mrs
","Przypuszczam, że to podopieczny Rochestera - ta mała Francuzka, o której mówił. Pani
"
"Dent had kindly taken her hand, and given her a kiss
","Dent uprzejmie ujął ją za rękę i pocałował
"
"Amy and Louisa Eshton had cried out simultaneously—“What a love of a child!” And then they had called her to a sofa, where she now sat, ensconced between them, chattering alternately in French and broken English
","Amy i Louisa Eshton krzyknęły jednocześnie - „Cóż za miłość dziecka!” A potem zawołali ją na sofę, na której teraz siedziała, wtulona między nimi, trajkocząc na przemian po francusku i łamanej angielszczyźnie.
"
"absorbing not only the young ladies’ attention, but that of Mrs
","przyciągając uwagę nie tylko młodych pań, ale i pani
"
"Eshton and Lady Lynn, and getting spoilt to her heart’s content
","Eshton i Lady Lynn i rozpieszczanie się do syta
"
"At last coffee is brought in, and the gentlemen are summoned
","W końcu przynoszono kawę i wzywano panów
"
"I sit in the shade—if any shade there be in this brilliantly-lit apartment
","Siedzę w cieniu - jeśli w tym doskonale oświetlonym mieszkaniu jest jakiś cień
"
"the windowcurtain half hides me
","zasłona do połowy mnie ukrywa
"
"Again the arch yawns
","Łuk znowu ziewa
"
"they come
","przyszli
"
"The collective appearance of the gentlemen, like that of the ladies, is very imposing
","Zbiorowy wygląd panów, podobnie jak pań, jest bardzo imponujący
"
"they are all costumed in black
","wszystkie są ubrane na czarno
"
"most of them are tall, some young
","większość z nich jest wysoka, niektórzy młodzi
"
"Henry and Frederick Lynn are very dashing sparks indeed
","Henry i Frederick Lynn są rzeczywiście bardzo błyskotliwymi iskrami
"
"and Colonel Dent is a fine soldierly man
","a pułkownik Dent to dobry żołnierz
"
"Eshton, the magistrate of the district, is gentleman-like
","Eshton, sędzia okręgu, przypomina dżentelmena
"
"his hair is quite white, his eyebrows and whiskers still dark, which gives him something of the appearance of a “père noble de théâtre.” Lord Ingram, like his sisters, is very tall
","jego włosy są dość białe, a brwi i wąsy nadal ciemne, co nadaje mu wygląd „père noble de théâtre”. Lord Ingram, podobnie jak jego siostry, jest bardzo wysoki
"
"like them, also, he is handsome
","tak jak oni, jest też przystojny
"
"but he shares Mary’s apathetic and listless look
","ale on podziela apatyczny i apatyczny wygląd Mary
"
"he seems to have more length of limb than vivacity of blood or vigour of brain
","wydaje się, że ma więcej kończyn niż żywotność krwi lub wigor mózgu
"
"And where is Mr
","A gdzie jest pan
"
"Rochester? He comes in last
","Rochester? On jest ostatni
"
"I am not looking at the arch, yet I see him enter
","Nie patrzę na łuk, ale widzę, jak wchodzi
"
"I try to concentrate my attention on those netting-needles, on the meshes of the purse I am forming—I wish to think only of the work I have in my hands, to see only
","Staram się skoncentrować swoją uwagę na tych siateczkowych igłach, na oczkach torebki, którą tworzę - chcę myśleć tylko o pracy, którą mam w rękach, widzieć tylko
"
"the silver beads and silk threads that lie in my lap
","srebrne koraliki i jedwabne nici, które leżą na moich kolanach
"
"whereas, I distinctly behold his figure, and I inevitably recall the moment when I last saw it
","podczas gdy ja wyraźnie dostrzegam jego postać i nieuchronnie przypominam sobie moment, w którym ostatnio ją widziałem
"
"just after I had rendered him, what he deemed, an essential service, and he, holding my hand, and looking down on my face, surveyed me with eyes that revealed a heart full and eager to overflow
","zaraz po tym, jak oddałem mu to, co uważał, za niezbędną służbę, a on, trzymając mnie za rękę i spoglądając w dół na moją twarz, spojrzał na mnie oczami, które ujawniały serce pełne i chętne do przepełnienia
"
"in whose emotions I had a part
","w których emocjach miałem udział
"
"How near had I approached him at that moment
","Jak blisko podszedłem do niego w tej chwili
"
"What had occurred since, calculated to change his and my relative positions? Yet now, how distant, how far estranged we were
","Co się wydarzyło od tamtego czasu, obliczonego na zmianę jego i moich względnych pozycji? A jednak teraz, jak odlegli, jak bardzo byliśmy wyobcowani
"
